ranking,"series name ",Year,certificate,runtime,genre,rating,DETAILS,ACTOR 1,ACTOR 2,ACTOR 3,ACTOR 4,VOTES
187,Formula 1: Drive to Survive,(2019– ),15,40 min,"Documentary, Sport",8.6,Docuseries following the FIA Formula One World Championship across multiple seasons.,Jack Nicholls,Lewis Hamilton,Charles Leclerc,Daniel Ricciardo,"37,778"
188,What We Do in the Shadows,(2019– ),16,30 min,"Comedy, Fantasy, Horror",8.6,"A look into the daily (or rather, nightly) lives of four vampires, who've lived together for over 100 years, on Staten Island.",Kayvan Novak,Matt Berry,Natasia Demetriou,Harvey Guillén,"67,060"
189,Pose,(2018–2021),G,60 min,Drama,8.6,"In the New York of the late '80s and early '90s, this is a story of ball culture and the gay and trans community, the raging AIDS crisis, and capitalism.",Michaela Jaé (MJ) Rodriguez,Dominique Jackson,Indya Moore,Angel Bismark Curiel,"28,404"
190,Mr Inbetween,(2018–2021),18,30 min,"Crime, Drama",8.6,"Ray Shoesmith is a father, ex-husband, boyfriend, brother and best friend, tough roles to juggle in the modern age. Especially when you're also a criminal for hire.",Scott Ryan,Chika Yasumura,Justin Rosniak,Damon Herriman,"16,383"
191,My Brilliant Friend,(2018– ),15,60 min,Drama,8.6,A woman recounts the lifelong friendship and conflicts with a girl she met at primary school in Naples during the early 1950s.,Alba Rohrwacher,Margherita Mazzucco,Gaia Girace,Annarita Vitolo,"14,350"
192,Cobra Kai,(2018– ),15,30 min,"Action, Comedy, Drama",8.6,"Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again.",Ralph Macchio,William Zabka,Xolo Maridueña,Tanner Buchanan,"165,779"
193,Sseulsseulhago Chalranhashin: Dokkaebi,(2016–2017),16,120 min,"Comedy, Drama, Fantasy",8.6,"In his quest for a bride to break his immortal curse, Dokkaebi, a 939-year-old guardian of souls, meets a grim reaper and a sprightly student with a tragic past.",Gong Yoo,Kim Go-eun,Lee Dong-Wook,Yoo In-Na,"19,570"
194,Mob Psycho 100,(2016– ),15,24 min,"Animation, Action, Comedy",8.6,"A psychic middle school boy tries to live a normal life and keep his growing powers under control, even though he constantly gets into trouble.",Setsuo Ito,Takahiro Sakurai,Akio Ôtsuka,Kyle McCarley,"27,849"
195,Mindhunter,(2017–2019),18,60 min,"Crime, Drama, Mystery",8.6,"Set in the late 1970s, two FBI agents are tasked with interviewing serial killers to solve open cases.",Jonathan Groff,Holt McCallany,Anna Torv,Hannah Gross,"272,771"
196,Skam,(2015–2017),,30 min,"Drama, Romance",8.6,"The story of young teenagers and pupils on Hartvig Nissens upper secondary school in Oslo, and their troubles, scandals and everyday life. Each season is told from a different person's point of view.",Josefine Frida Pettersen,Iman Meskini,Ulrikke Falch,Lisa Teige,"33,249"
197,Making a Murderer,(2015–2018),15,60 min,"Documentary, Crime",8.6,"Filmed over a 10-year period, , a DNA exoneree who, while in the midst of exposing corruption in local law enforcement, finds himself the prime suspect in a grisly new crime.",Steven Avery,Dolores Avery,Laura Nirider,Allan Avery,"94,215"
198,Merlí,(2015–2018),18,58 min,"Comedy, Drama, Romance",8.6,"TV series about a high school philosophy teacher, Merlí, who teaches in an original way, and about the students of his class, including his own son, and the relationship, friendship, love, and problems among the students of the class.",Francesc Orella,Pere Ponce,Carlos Cuevas,Marta Marco,"8,343"
199,Atlanta,(2016–2023),15,30 min,"Comedy, Drama, Music",8.6,"Earn and his cousin Alfred, based in Atlanta, try to make their way in the world through the rap scene. Along the way they come face-to-face with social and economic issues touching on race, relationships, poverty, status, and parenthood.",Donald Glover,Brian Tyree Henry,LaKeith Stanfield,Zazie Beetz,"68,079"
200,Mr. Robot,(2015–2019),15,49 min,"Crime, Drama, Thriller",8.6,"Elliot, a brilliant but highly unstable young cyber-security engineer and vigilante hacker, becomes a key figure in a complex game of global dominance when he and his shadowy allies try to take down the corrupt corporation he works for.",Rami Malek,Christian Slater,Carly Chaikin,Martin Wallström,"376,654"
201,Permanent Roommates,(2014–2016),18+,21 min,"Comedy, Romance",,"A couple, who were in a long distance relationship for 3 years, face the prospect of getting married.",Sumeet Vyas,Nidhi Singh,Deepak Kumar Mishra,Shishir Sharma,"25,024"
202,Detectorists,(2014–2022),15,30 min,Comedy,,"The lives of two eccentric metal detectorists, who spend their days plodding along ploughed tracks and open fields, hoping to disturb the tedium by unearthing the fortune of a lifetime.",Mackenzie Crook,Toby Jones,Rachael Stirling,Gerard Horan,"14,107"
203,Shigatsu wa kimi no uso,(2014–2015),12,23 min,"Animation, Drama, Music",,A piano prodigy who lost his ability to play after suffering a traumatic event in his childhood is forced back into the spotlight by an eccentric girl with a secret of her own.,Natsuki Hanae,Risa Taneda,Ayane Sakura,Ryôta Ôsaka,"27,510"
204,Kardes Payi,(2014–2015),,70 min,"Comedy, Drama, Family",,The two brothers have a plumbing company and they are trying to invent something that would make the world a better place.,Ahmet Kural,Murat Cemcir,Seda Bakan,Sinasi Yurtsever,"16,191"
205,Banshee Origins,(2013–2016),,,Drama,,"Fresh out of prison after 15 years, a master thief assumes the identity of a dead sheriff in Banshee, PA. After tracking down the woman he loves they try to avoid detection from her father; a Ukrainian mobster looking to kill them for double crossing him.",Frankie Faison,Antony Starr,Ivana Milicevic,Ulrich Thomsen,"5,078"
206,Daredevil,(2015–2018),15,54 min,"Action, Crime, Drama",,"A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil.",Charlie Cox,Vincent D'Onofrio,Deborah Ann Woll,Elden Henson,"423,615"
207,Shtisel,(2013–2021),13,45 min,Drama,,"The life of the Shtisel family, a Haredi family in Jerusalem.",Doval'e Glickman,Michael Aloni,Neta Riskin,Shira Haas,"7,058"
208,Endeavour,(2012–2021),12,89 min,"Crime, Drama, Mystery",,"Set from 1965 to 1971, the show follows Endeavour Morse in his early years as a police constable. Working alongside his senior partner DI Fred Thursday, Morse engages in a number of investigations around Oxford.",Shaun Evans,Roger Allam,James Bradshaw,Sean Rigby,"25,157"
209,Wentworth Prison,(2013–2021),18,45 min,"Crime, Drama, Thriller",,The confronting look into the lives of the inmates and prison staff of Wentworth Correctional Centre as they navigate the ups and downs of their lives in the prison system.,Kate Atkinson,Katrina Milosevic,Robbie Magasiva,Jacqueline Brennan,"21,934"
210,Satyamev Jayate,(2012–2014),U,65 min,"Documentary, Talk-Show",,hosts and produces this documentary/talkshow that explores the social issues affecting modern India.,Aamir Khan,Sridevi,Devendra Singh Gaur,Deepika Padukone,"7,388"
211,Isler Güçler,(2012–2013),,86 min,Comedy,,"Ahmet, Murat and Sadi are actors who dream of shooting a movie and present a documentary called 'Meslek Hikayeleri' in order to make money.",Murat Cemcir,Ahmet Kural,Sadi Celil Cengiz,Sinasi Yurtsever,"20,753"
212,The Eric Andre Show,(2012– ),15,11 min,Comedy,,"Eric Andre tries to host a talk show in a bizarre environment, where he is sometimes the player of pranks and sometimes the victim.",Eric André,Hannibal Buress,Robert Smith,Tom Ato,"17,665"
213,Impractical Jokers,(2011– ),15,30 min,"Comedy, Reality-TV",,"Q, Sal, Joe and Murr are real-life best friends who love challenging each other to the most outrageous dares and stunts ever caught on hidden camera.",Brian Quinn,James Murray,Sal Vulcano,Joe Gatto,"39,224"
214,The Great British Bake Off,(2010– ),U,60 min,Reality-TV,,Bakers attempt three challenges each week trying to impress the judges enough to go through to the next round and eventually are crowned Britain's best amateur baker.,Paul Hollywood,Mary Berry,Mel Giedroyc,Sue Perkins,"9,820"
215,The Newsroom,(2012–2014),15,55 min,Drama,,"A newsroom undergoes some changes in its workings and morals as a new team is brought in, bringing unexpected results for its existing news anchor.",Jeff Daniels,Emily Mortimer,John Gallagher Jr.,Alison Pill,"113,956"
216,The Bridge,(2011–2018),15,60 min,"Crime, Mystery, Thriller",,"When a body is found on the bridge between Denmark and Sweden, right on the border, Danish inspector Martin Rohde and Swedish Saga Norén have to share jurisdiction and work together to find the killer.",Sofia Helin,Rafael Pettersson,Sarah Boberg,Dag Malmberg,"67,596"
217,Check It Out! with Dr. Steve Brule,(2010–2017),,11 min,"Comedy, Talk-Show",,"See Dr. Steve learn about restaurants, spend time with his family, conquer his fears, and more. Featuring guest appearances by Jan Skylar, Wayne Skylar, and David Liebe Hart.",John C. Reilly,Carol Kraft,Doug Foster,Scott Stewart,"6,413"
218,Shameless,(2011–2021),18,46 min,"Comedy, Drama",,"A scrappy, feisty, fiercely loyal Chicago family makes no apologies.",Emmy Rossum,William H. Macy,Ethan Cutkosky,Jeremy Allen White,"232,182"
219,Through the Wormhole,(2010–2017),,60 min,Documentary,,"Hosted by Morgan Freeman, Through the Wormhole will explore the deepest mysteries of existence - the questions that have puzzled mankind for eternity. What are we made of? What was there ...                 »",Morgan Freeman,Sean Carroll,Michio Kaku,Kip Thorne,"17,708"
220,Justified,(2010–2015),15,44 min,"Action, Crime, Drama",,"U.S. Marshal Raylan Givens is reassigned from Miami to his childhood home in the poor, rural coal mining towns of eastern Kentucky.",Timothy Olyphant,Nick Searcy,Joelle Carter,Jacob Pitts,"98,318"
221,Archer,(2009– ),15,22 min,"Animation, Action, Comedy",,Covert black ops and espionage take a back seat to zany personalities and relationships between secret agents and drones.,H. Jon Benjamin,Judy Greer,Amber Nash,Chris Parnell,"151,717"
222,Bosch: Legacy,(2022– ),15,50 min,"Crime, Drama",,"Bosch embarks on the next chapter of his career and finds himself working with his one-time enemy, Honey Chandler.",Titus Welliver,Mimi Rogers,Madison Lintz,Stephen A. Chang,"12,060"
223,12 reci,(2020– ),,45 min,"Crime, Drama",,"The young lawyer wants to win his first big case. In a conflict with the power structures, he will have to choose between loyalty and justice.",Viktor Savic,Tihomir Stanic,Ivana Vukovic,Petar Novakovic,"5,711"
224,Ranking of Kings,(2021– ),Not Rated,23 min,"Animation, Adventure, Comedy",,"The people of the kingdom look down on the young Prince Bojji, who can neither hear nor speak. They call him ""The Useless Prince"" while jeering at his supposed foolishness.",Brianna Roberts,A.J. LoCascio,Yûki Kaji,Hinata Minami,"7,627"
225,Adventure Time,(2010–2018),UA,11 min,"Animation, Action, Adventure",,"A 12-year-old boy and his best friend, wise 28-year-old dog with magical powers, go on a series of surreal adventures with each other in a remote future.",John DiMaggio,Jeremy Shada,Tom Kenny,Hynden Walch,"91,223"
226,Clannad: After Story,(2008–2009),12,24 min,"Animation, Comedy, Drama",,A sequel to the recently wrapped anime based on the Key Clannad franchise. After Story is a path that opens in the original visual novel after all the other paths have been opened. Life ...                 »,Yûichi Nakamura,David Matranga,Luci Christian,Mai Nakahara,"10,990"
227,Parks and Recreation,(2009–2015),15,22 min,Comedy,,The absurd antics of an Indiana town's public officials as they pursue sundry projects to make their city a better place.,Amy Poehler,Jim O'Heir,Nick Offerman,Chris Pratt,"250,320"
228,It's Okay to Not Be Okay,-2020,12,80 min,"Comedy, Drama, Romance",,An extraordinary road to emotional healing opens up for an selfish antisocial children's book writer and a selfless psych ward caretaker when they cross paths.,Kim Soo-hyun,Seo Ye-Ji,Oh Jeong-Se,Park Gyuyoung,"21,887"
229,Jujutsu Kaisen,(2020– ),15,24 min,"Animation, Action, Adventure",,A boy swallows a cursed talisman - the finger of a demon - and becomes cursed himself. He enters a shaman's school to be able to locate the demon's other body parts and thus exorcise himself.,Junya Enoki,Adam McArthur,Yûichi Nakamura,Yuma Uchida,"51,721"
230,To Your Eternity,(2021– ),15,25 min,"Animation, Adventure, Drama",,"A lonely boy wandering the Arctic regions of North America meets a wolf, and the two become fast friends, depending on each other to survive the harsh environment. But the boy has a history, and the wolf is more than meets the eye as well.",Jacob Hopkins,Dorothy Elias-Fahn,Reiji Kawashima,Kenjirô Tsuda,"6,745"
231,Middleditch & Schwartz,(2020– ),15,51 min,Comedy,,"Thomas Middleditch (""Silicon Valley"") and Ben Schwartz (""Parks and Recreation"") perform two-person long-form improv.",Thomas Middleditch,Ben Schwartz,,,"5,288"
232,Love on the Spectrum,(2019– ),PG,45 min,"Documentary, Reality-TV, Romance",,"A documentary series following young adults on the autism spectrum as they explore the unpredictable world of love, dating and relationships.",Brooke Satchwell,Michael Theo,Mark Radburn,Ronan Soussa,"5,762"
233,Special OPS,(2020– ),15+,49 min,"Action, Crime, Thriller",,"The story through the eyes of Himmat Singh is based on the inspiration was taken from Nineteen Years of nationally significant events, several espionage missions were undertaken by India in the last two decades.",Kay Kay Menon,Karan Tacker,Gautami Kapoor,Muzamil Ibrahim,"31,536"
234,Sons of Anarchy,(2008–2014),18,45 min,"Crime, Drama, Thriller",,A biker struggles to balance being a father and being involved in an outlaw motorcycle club.,Charlie Hunnam,Katey Sagal,Mark Boone Junior,Kim Coates,"290,026"
235,Move to Heaven,(2021– ),15,60 min,Drama,,"Working as trauma cleaners, both Gu-ru and Sang-gu uncover various stories of the deceased while experiencing different emotions and sentiments toward life, death and family.",Adam McArthur,Olivia Castanho,Lee Jehoon,Tang Joon-sang,"5,553"
236,Boardwalk Empire,(2010–2014),18,55 min,"Crime, Drama, History",,An Atlantic City politician plays both sides of the law by conspiring with gangsters during the Prohibition era.,Steve Buscemi,Kelly Macdonald,Michael Shannon,Shea Whigham,"186,165"
237,Flight of the Conchords,(2007–2009),15,28 min,"Comedy, Music, Musical",,"Bret and Jemaine are Flight of the Conchords, a folk-rock band from New Zealand living in New York City in search of stardom.",Jemaine Clement,Bret McKenzie,Rhys Darby,Kristen Schaal,"60,261"
238,Westworld,(2016– ),18,62 min,"Drama, Mystery, Sci-Fi",,"At the intersection of the near future and the reimagined past, waits a world in which every human appetite can be indulged without consequence.",Evan Rachel Wood,Jeffrey Wright,Ed Harris,Thandiwe Newton,"480,605"
239,Doctor Who,(2005– ),U,45 min,"Adventure, Drama, Sci-Fi",,The further adventures in time and space of the alien adventurer known as the Doctor and their companions from planet Earth.,Jodie Whittaker,Peter Capaldi,Pearl Mackie,Matt Smith,"219,783"
240,Hunter x Hunter,(1999–2001),U,23 min,"Animation, Action, Adventure",,"The history of Gon Freecs, a boy who left home alone to become a Hunter. In the hard test, Gon meets Leorio, Kurapika and Killua.",Junko Takeuchi,Yuki Kaida,Hozumi Gôda,Annika Odegard,"8,029"
241,Samurai Champloo,(2004–2005),15,24 min,"Animation, Action, Adventure",,"Fuu, a waitress who works in a teahouse, rescues two master swordsmen, Mugen and Jin, from their execution to help her find the ""samurai who smells of sunflowers.""",Kazuya Nakai,Ginpei Sato,Ayako Kawasumi,Steve Blum,"47,372"
242,Avrupa Yakasi,(2004–2009),,60 min,Comedy,,The life and times of the rather traditional Sutcuoglu family and their comedic struggles to adapt the high-profile contemporary life of Nisantasi.,Gülse Birsel,Levent Üzümcü,Senay Gürler,Hale Caneroglu,"18,485"
243,The Venture Bros.,(2003–2018),15,22 min,"Animation, Action, Adventure",,"The bizarre escapades of pseudo-heroic scientist Dr. Rusty Venture, his competent, high-strung bodyguard, and his two overenthusiastic sons.",Christopher McCulloch,James Urbaniak,Doc Hammer,Michael Sinterniklaas,"25,732"
244,QI,(2003– ),15,30 min,"Comedy, Game-Show",,"A comedy panel game in which being Quite Interesting is more important than being right. Sandi Toksvig is joined each week by four comedians to share anecdotes and trivia, and maybe answer some questions as well.",Alan Davies,Stephen Fry,Sandi Toksvig,Phill Jupitus,"31,552"
245,Deadwood,(2004–2006),18,55 min,"Crime, Drama, History",,"A show set in the late 1800s, revolving around the characters of Deadwood, South Dakota; a town of deep corruption and crime.",Timothy Olyphant,Ian McShane,Molly Parker,Brad Dourif,"105,122"
246,Trailer Park Boys,(2001–2018),15,30 min,"Comedy, Crime",,Three petty felons have a documentary made about their life in a trailer park.,John Paul Tremblay,Robb Wells,Mike Smith,John Dunsworth,"42,500"
247,Dragon Ball,(1995–2003),12,24 min,"Animation, Action, Adventure",,"Dragon Ball tells the tale of a young warrior by the name of Son Goku, a young peculiar boy with a tail who embarks on a quest to become stronger and learns of the Dragon Balls, when, once all 7 are gathered, grant any wish of choice.",Brice Armstrong,Steve Olson,Stephanie Nadolny,Zoe Slusar,"59,010"
248,Justice League,(2001–2004),PG,22 min,"Animation, Action, Adventure",,Seven of the most formidable heroes form arguably the most powerful team ever.,Carl Lumbly,Phil LaMarr,Michael Rosenbaum,George Newbern,"45,841"
249,Phoenix Nights,(2001–2002),15,25 min,Comedy,,The misadventures of club owner Brian Potter who is determined to make The Phoenix Club the best working men's club in Greater Manchester.,Peter Kay,Dave Spikey,Justin Moorhouse,Paddy McGuinness,"6,694"
250,Coupling,(2000–2004),15,30 min,"Comedy, Romance",,Six best friends talk about all aspects of sex and relationships on their never-ending quest to find true love.,Jack Davenport,Gina Bellman,Sarah Alexander,Kate Isitt,"45,313"
251,"Well, Just You Wait!",(1969–2017),,10 min,"Animation, Action, Comedy",8.6,A long-years odyssey of Wolf to catch Hare. Comprehensive changes in the Soviet Union pass in the background.,Anatoliy Papanov,Klara Rumyanova,Igor Khristenko,Olga Zvereva,"5,343"
252,Spaced,(1999–2001),15,25 min,"Action, Comedy",8.6,"Friends Tim and Daisy, 20-something North Londoners with uncertain futures, must pretend to be a couple to live in the only apartment they can afford.",Simon Pegg,Jessica Hynes,Julia Deakin,Nick Frost,"54,233"
253,Inside the Actors Studio,(1994– ),,65 min,Talk-Show,8.6,"Famous actors, directors and writers reminisce about their careers and the philosophy behind their craft.",James Lipton,Ellen Burstyn,Elena Kobylina,Bradley Cooper,"5,236"
254,I'm Alan Partridge,(1997–2002),15,29 min,Comedy,8.6,"Alan Partridge, a failed television presenter, is now presenting a programme on local radio in Norwich. He desperately tries to revive his broadcasting career.",Steve Coogan,Simon Greenall,Felicity Montagu,Phil Cornwell,"20,431"
255,Brass Eye,(1997–2001),18,25 min,Comedy,8.6,"Controversal spoof of current affairs television, and the role of celebrity in the UK.",Christopher Morris,Mark Heap,Kevin Eldon,Doon Mackichan,"10,692"
256,The Day Today,-1994,,30 min,Comedy,8.6,"A spoof of the British style of news broadcasting - including ridiculous stories, patronising vox pops, offensively hard-hitting research and a sports presenter clearly struggling for metaphors.",Christopher Morris,Steve Coogan,Patrick Marber,Rebecca Front,"5,263"
257,The X Files,(1993–2018),18,45 min,"Crime, Drama, Mystery",8.6,"Two F.B.I. Agents, Fox Mulder the believer and Dana Scully the skeptic, investigate the strange and unexplained, while hidden forces work to impede their efforts.",David Duchovny,Gillian Anderson,Mitch Pileggi,William B. Davis,"219,296"
258,Mr. Bean,(1990–1995),U,25 min,"Comedy, Family",8.6,"Bumbling, childlike Mr. Bean has trouble completing the simplest of tasks in day-to-day life, but his perseverance and resourcefulness frequently allow him to find ingenious ways around problems.",Rowan Atkinson,Robin Driscoll,Matilda Ziegler,Matthew Ashforde,"116,327"
259,Poirot,(1989–2013),12,100 min,"Crime, Drama, Mystery",8.6,"The cases of eccentric, but sharp, Belgian detective Hercule Poirot.",David Suchet,Hugh Fraser,Philip Jackson,Pauline Moran,"44,487"
260,Blackadder the Third,-1987,15,180 min,Comedy,8.6,"In the Regency era, Mr E. Blackadder serves as butler to the foppish numskull Prince George amidst the fads and crazes of the time.",Rowan Atkinson,Tony Robinson,Hugh Laurie,Helen Atkinson Wood,"43,804"
261,Dragon Ball,(1986–1989),U,24 min,"Animation, Action, Adventure",8.6,"Son Gokû, a fighter with a monkey tail, goes on a quest with an assortment of odd characters in search of the Dragon Balls, a set of crystals that can give its bearer anything they desire.",Masako Nozawa,Jôji Yanami,Brice Armstrong,Stephanie Nadolny,"55,840"
262,Blackadder II,-1986,15,176 min,Comedy,8.6,"In the Tudor court of Elizabeth I, Lord Edmund Blackadder strives to win Her Majesty's favour while attempting to avoid a grisly fate should he offend her.",Rowan Atkinson,Tony Robinson,Tim McInnerny,Miranda Richardson,"46,193"
263,"Yes, Prime Minister",(1986–1987),PG,30 min,Comedy,8.6,James Hacker was propelled along the corridors of power to the very pinnacle of politics - Number 10.,Paul Eddington,Nigel Hawthorne,Derek Fowlds,Diana Hoddinott,"11,380"
264,Yes Minister,(1980–1984),PG,30 min,Comedy,8.6,"The Right Honorable James Hacker has landed the plum job of Cabinet Minister to the Department of Administration. At last he is in a position of power and can carry out some long-needed reforms, or so he thinks.",Paul Eddington,Nigel Hawthorne,Derek Fowlds,Diana Hoddinott,"14,612"
265,The Bugs Bunny Show,(1960–1975),U,30 min,"Animation, Comedy",8.6,TV series featuring the classic Looney Tunes animated shorts.,Mel Blanc,Pinto Colvig,Joe Bronx,June Foray,"33,451"
266,The Honeymooners,(1955–1956),,30 min,"Comedy, Family",8.6,A bus driver and his sewer worker friend struggle to strike it rich while their wives look on with weary patience.,Jackie Gleason,Art Carney,Audrey Meadows,Joyce Randolph,"5,492"
267,Kaguya-sama: Love Is War,(2019– ),18,24 min,"Animation, Comedy, Romance",8.5,The proudly privileged top two students of an elite school each makes it their mission to be the first to extract a confession of love from the other.,Aoi Koga,Makoto Furukawa,Konomi Kohara,Yutaka Aoyama,"11,526"
268,Delhi Crime,(2019– ),15,50 min,"Crime, Drama",8.5,"Based on the Nirbhaya case, Delhi Crime follows the Delhi Police investigation into the finding of the men who perpetrated this crime.",Shefali Shah,Rajesh Tailang,Rasika Dugal,Anurag Arora,"19,092"
269,Chapter 2,(2018– ),,44 min,Drama,8.5,"Starting over is never an easy thing to do. So after his breakup with long time partner Kevin, Jonathan finds himself struggling to adjust to life as a single guy. His friends want him to ...                 »",Isiah Williams,Keston Lee,Eric Covington,Matthew Jacobs,"5,227"
270,Harley Quinn,(2019– ),NR,23 min,"Animation, Action, Adventure",8.5,"The series focuses on a single Harley Quinn, who sets off to make it on her own in Gotham City.",Kaley Cuoco,Lake Bell,Alan Tudyk,Ron Funches,"24,152"
271,Queer Eye,(2018– ),12,45 min,Reality-TV,8.5,"A new Fab Five set out to Atlanta to help some of the city's people refine their wardrobes, grooming, diet, cultural pursuits, and home décor.",Antoni Porowski,Jonathan Van Ness,Tan France,Karamo Brown,"18,646"
272,This Country,(2017–2020),12A,21 min,Comedy,8.5,"Comedy exploring the lives of young people in modern rural Britain, focusing on cousins Kerry and Kurtan and their lives in the Cotswolds.",Daisy May Cooper,Charlie Cooper,Paul Chahidi,Trevor Cooper,"6,023"
273,Mirzapur,(2018– ),15,60 min,"Action, Crime, Drama",8.5,A shocking incident at a wedding procession ignites a series of events entangling the lives of two families in the lawless city of Mirzapur.,Pankaj Tripathi,Ali Fazal,Divyendu Sharma,Shweta Tripathi,"69,054"
274,Bimilui Soop,(2017– ),15,60 min,"Crime, Drama, Mystery",8.5,"With the help of a gutsy female detective, a prosecutor who has almost lost the ability to feel emotions tackles a strange murder case amid political corruption.",Cho Seung-woo,Bae Doona,Lee Joon-hyuk,Jeon Bae-soo,"7,983"
275,Hilda,(2018– ),PG,24 min,"Animation, Adventure, Comedy",8.5,"A fearless blue-haired girl named Hilda leaves the forest to go to town and find new friends, great adventures, magic and mysterious creatures who might be dangerous.",Bella Ramsey,Ameerah Falzon-Ojo,Oliver Nelson,Daisy Haggard,"10,374"
276,Sacred Games,(2018–2019),18,50 min,"Action, Crime, Drama",8.5,"A link in their pasts leads an honest cop to a fugitive gang boss, whose cryptic warning spurs the officer on a quest to save Mumbai from cataclysm.",Saif Ali Khan,Nawazuddin Siddiqui,Neeraj Kabi,Elnaaz Norouzi,"86,155"
277,The Punisher,(2017–2019),18,53 min,"Action, Crime, Drama",8.5,"After the murder of his family, Marine veteran Frank Castle becomes the vigilante known as ""The Punisher,"" with only one goal in mind: to avenge them.",Jon Bernthal,Amber Rose Revah,Ben Barnes,Jason R. Moore,"223,492"
278,Signal,-2016,16,80 min,"Crime, Drama, Fantasy",8.5,Detectives from the present and a detective from the past communicate via walkie-talkie to solve a long-time unsolved case.,Lee Jehoon,Kim Hye-su,Cho Jin-woong,Kim Won-Hae,"6,735"
279,Ozark,(2017–2022),18,60 min,"Crime, Drama, Thriller",8.5,"A financial advisor drags his family from Chicago to the Missouri Ozarks, where he must launder money to appease a drug boss.",Jason Bateman,Laura Linney,Sofia Hublitz,Skylar Gaertner,"295,132"
280,Chef's Table,(2015–2019),15,50 min,Documentary,8.5,"Chef's Table goes inside the lives and kitchens of six of the world's most renowned international chefs. Each episode focuses on a single chef and their unique look at their lives, talents and passion from their piece of culinary heaven.",Ruth Reichl,Massimo Bottura,Francis Mallmann,Magnus Nilsson,"15,316"
281,Healer,(2014–2015),13,60 min,"Action, Comedy, Crime",8.5,"An old murder incident involving a group who ran an illegal broadcasting station brings together different people - a mysterious errand guy ""Healer"" who possesses disguise and fighting ...                 »",Ji Chang-Wook,Park Min-Young,Tae-Mi,Yoo Ji-Tae,"8,162"
282,The Last Kingdom,(2015–2022),18,60 min,"Action, Drama, History",8.5,"As Alfred the Great defends his kingdom from Norse invaders, Uhtred--born a Saxon but raised by Vikings--seeks to claim his ancestral birthright.",Alexander Dreymon,Eliza Butterworth,Arnas Fedaravicius,Mark Rowley,"130,898"
283,Twin Peaks,-2017,15,60 min,"Crime, Drama, Horror",8.5,Picks up 25 years after the inhabitants of a quaint northwestern town are stunned when their homecoming queen is murdered.,Kyle MacLachlan,Sheryl Lee,Michael Horse,Chrysta Bell,"66,008"
284,Big Little Lies,(2017–2019),15,60 min,"Crime, Drama, Mystery",8.5,"The apparently perfect lives of upper-class mothers, at a prestigious elementary school, unravel to the point of murder when a single mother moves to their quaint Californian beach town.",Reese Witherspoon,Nicole Kidman,Shailene Woodley,Zoë Kravitz,"191,122"
285,People Just Do Nothing,(2014–2018),15,30 min,"Comedy, Music",8.5,A mockumentary series about a group of failed MCs from West London and their passion for pirate radio.,Allan Mustafa,Hugo Chegwin,Asim Chaudhry,Steve Stamp,"6,768"
286,Kingdom,(2014–2017),15,43 min,"Drama, Sport",8.5,A retired MMA fighter turned trainer juggles keeping his mixed martial arts gym running and keeping his family united.,Frank Grillo,Kiele Sanchez,Matt Lauria,Jonathan Tucker,"17,911"
287,Schitt's Creek,(2015–2020),15,22 min,Comedy,8.5,"When rich, video store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek.",Eugene Levy,Catherine O'Hara,Dan Levy,Annie Murphy,"114,538"
288,Bosch,(2014–2021),15,51 min,"Crime, Drama",8.5,An L.A.P.D. homicide detective works to solve the murder of a thirteen-year-old boy while standing trial in federal court for the murder of a serial killer.,Titus Welliver,Jamie Hector,Amy Aquino,Lance Reddick,"67,545"
289,Happy Valley,(2014–2022),15,58 min,"Crime, Drama, Thriller",8.5,Yorkshire based crime drama centering on the personal and professional life of Police Sergeant Catherine Cawood.,Sarah Lancashire,Siobhan Finneran,Charlie Murphy,James Norton,"39,010"
290,The Expanse,(2015–2022),15,60 min,"Drama, Mystery, Sci-Fi",8.5,"In the 24th century, a group of humans untangle a vast plot which threatens the Solar System's fragile state of detente.",Steven Strait,Dominique Tipper,Wes Chatham,Shohreh Aghdashloo,"148,450"
291,The Knick,(2014–2015),15,58 min,"Drama, History",8.5,A look at the professional and personal lives of the staff at New York's Knickerbocker Hospital during the early part of the twentieth century.,André Holland,Clive Owen,Jeremy Bobb,Juliet Rylance,"48,002"
292,Inside No. 9,(2014– ),15,30 min,"Comedy, Crime, Drama",8.5,"Anthology series which mixes dark humor with genres like crime, horror or drama. The show invites viewers into some very different No.9s, where the ordinary and mundane rub shoulders with the extraordinary and macabre.",Reece Shearsmith,Steve Pemberton,Derek Jacobi,Aimee-Ffion Edwards,"16,509"
293,Silicon Valley,(2014–2019),15,28 min,Comedy,8.5,"Follows the struggle of Richard Hendricks, a Silicon Valley engineer trying to build his own company called Pied Piper.",Thomas Middleditch,T.J. Miller,Josh Brener,Martin Starr,"145,505"
