ranking,"series name ",Year,certificate,runtime,genre,rating,DETAILS,ACTOR 1,ACTOR 2,ACTOR 3,ACTOR 4,VOTES
460,M*A*S*H,(1972–1983),PG,25 min,"Comedy, Drama, War",8.4,The staff of an Army hospital in the Korean War find that laughter is the best way to deal with their situation.,Alan Alda,Wayne Rogers,Loretta Swit,Jamie Farr,"56,343"
461,All in the Family,(1971–1979),,30 min,"Comedy, Drama",8.4,A working class man constantly squabbles with his family over the important issues of the day.,Carroll O'Connor,Jean Stapleton,Rob Reiner,Sally Struthers,"16,500"
462,Star Trek,(1966–1969),PG,50 min,"Action, Adventure, Sci-Fi",8.4,"In the 23rd Century, Captain James T. Kirk and the crew of the U.S.S. Enterprise explore the galaxy and defend the United Federation of Planets.",William Shatner,Leonard Nimoy,DeForest Kelley,Nichelle Nichols,"82,070"
463,Doctor Who,(1963–1989),U,45 min,"Adventure, Drama, Family",8.4,"The adventures in time and space of the Doctor, a Time Lord who changes appearance and personality by regenerating when near death, and is joined by companions in battles against aliens and other megalomaniacs.",William Hartnell,Patrick Troughton,Jon Pertwee,Tom Baker,"37,269"
464,The Dick Van Dyke Show,(1961–1966),,30 min,"Comedy, Family",8.4,The misadventures of a TV writer both at work and at home.,Dick Van Dyke,Mary Tyler Moore,Rose Marie,Morey Amsterdam,"10,446"
465,The Andy Griffith Show,(1960–1968),,30 min,"Comedy, Family",8.4,"Widower Sheriff Andy Taylor, and his son Opie, live with Andy's Aunt Bee in Mayberry, North Carolina. With virtually no crimes to solve, most of Andy's time is spent philosophizing and calming down his cousin Deputy Barney Fife.",Andy Griffith,Ron Howard,Don Knotts,Frances Bavier,"14,738"
466,Dororo,-2019,A,30 min,"Animation, Action, Adventure",8.3,"A father in pursuit of power gives parts of his new-born son to a host of demons. Years later, the son battles those demons to regain what is rightfully his.",Jason Douglas,Rio Suzuki,Mugihito,Chaney Moore,"12,171"
467,Brassic,(2019– ),15,43 min,"Comedy, Drama",8.3,"The lives of Vinnie and Dylan, who have grown up together and are inseparable. When Dylan's girlfriend wants to move in search of a better life for her and her child, Dylan must face the hardest decision of his life.",Joe Gilgun,Damien Molony,Michelle Keegan,Tom Hanson,"8,429"
468,Wu-Tang: An American Saga,(2019– ),,49 min,"Biography, Drama",8.3,"The show tracks the Wu Tang Clan's formation, a vision of Bobby Diggs, who strives to unite a dozen young Black men who are torn between music and crime but eventually rise to become the unlikeliest of American success stories.",Ashton Sanders,Shameik Moore,Siddiq Saunderson,Julian Elijah Martinez,"7,351"
469,Why Women Kill,(2019– ),18,50 min,"Comedy, Crime, Drama",8.3,"An anthology series that follows three women in different decades all living in the same house, as they deal with infidelity and betrayals in their marriages.",Jack Davenport,Lucy Liu,Allison Tolman,Ginnifer Goodwin,"22,593"
470,Yakusoku no Neverland,(2019–2021),15,23 min,"Animation, Action, Adventure",8.3,"When three gifted kids at an isolated idyllic orphanage discover the secret and sinister purpose they were raised for, they look for a way to escape from their evil caretaker and lead the other children in a risky escape plan.",Sumire Morohoshi,Mariya Ise,Shinei Ueki,Lynn,"35,507"
471,Who Is America?,-2018,,30 min,Comedy,8.3,Sacha Baron Cohen offers his take on America's patriotism.,Sacha Baron Cohen,Roy Elghanayan,Emanuela Postacchini,Gloria Sandoval,"18,826"
472,Ghosts,(2019– ),12,30 min,"Comedy, Fantasy",8.3,A group of spirits restlessly squabble in an abandoned country home. A new couple move in and will the ghosts end up being friends with the couple or will they want them out.,Lolly Adefope,Mathew Baynton,Simon Farnaby,Martha Howe-Douglas,"14,787"
473,Dave,(2020– ),15,30 min,"Comedy, Music",8.3,A neurotic mid-20s suburbanite's convinced he's destined to be one of the greatest rappers of all time. Now he's got to prove it to everyone else.,Dave Burd,Andrew Santino,Gata,Taylor Misiak,"18,276"
474,Black Clover,(2017–2021),12,24 min,"Animation, Action, Adventure",8.3,"Asta and Yuno were abandoned together at the same church and have been inseparable since. As children, they promised that they would compete against each other to see who would become the next Emperor Magus.",Dallas Reid,Cris George,Jill Harris,Christopher Sabat,"20,873"
475,Made in Abyss,(2017– ),15,325 min,"Animation, Action, Adventure",8.3,"A girl and her robot companion search for her mother, who's lost within a vast chasm.",Miyu Tomita,Mariya Ise,Luci Christian,Brittany Lauda,"9,671"
476,The Morning Show,(I) (2019– ),Caution,60 min,Drama,8.3,"An inside look at the lives of the people who help America wake up in the morning, exploring the unique challenges faced by the men and women who carry out this daily televised ritual.",Jennifer Aniston,Reese Witherspoon,Billy Crudup,Mark Duplass,"96,236"
477,Kingdom,(2019– ),18,45 min,"Action, Drama, History",8.3,"While strange rumors about their ill King grip a kingdom, the crown prince becomes their only hope against a mysterious plague overtaking the land.",Ju Ji-Hoon,Bae Doona,Kim Sungkyu,Kim Hye-jun,"44,436"
478,Castlevania,(2017–2021),15,23 min,"Animation, Action, Adventure",8.3,A vampire hunter fights to save a besieged city from an army of otherworldly creatures controlled by Dracula.,Richard Armitage,James Callis,Alejandra Reynoso,Theo James,"62,106"
479,Made in Heaven,(2019– ),16+,50 min,"Drama, Romance",8.3,"It is the story of two wedding planners in Delhi, where tradition jostles with modern aspirations against the backdrop of big fat Indian weddings revealing many secrets and lies.",Arjun Mathur,Sobhita Dhulipala,Jim Sarbh,Kalki Koechlin,"10,874"
480,Breathe,-2018,15,45 min,"Crime, Drama, Thriller",8.3,This series just asks one question - how far will you go to protect the one you love. Two desperate and driven men must engage in the ultimate cat and mouse game to save the one they love.,Madhavan,Amit Sadh,Sapna Pabbi,Shriswara,"19,638"
481,The Cheat,(2017–2020),,20 min,"Action, Drama, Sci-Fi",8.3,Felix is a software developer who works for the department of software at an important anti-virus company. Beside that he is completing the missing parts of software on the games which are ...                 »,Taha Ulukaya,Andac Ulukaya,Neslihan Ulusoy,Taner Sahin,"5,645"
482,Abstract: The Art of Design,(2017– ),15,45 min,Documentary,8.3,"A look beyond blueprints and computers into the art and science of design, showcasing great designers from every discipline whose work shapes our world.",Platon,Ian Spalter,Cas Holman,Jay Leno,"5,422"
483,Atypical,(2017–2021),12,30 min,"Comedy, Drama",8.3,"Sam, an 18-year-old on the autism spectrum, decides it's time to find a girlfriend, which sets Sam's mom on her own life-changing path as her son seeks more independence.",Jennifer Jason Leigh,Keir Gilchrist,Brigette Lundy-Paine,Michael Rapaport,"84,583"
484,While You Were Sleeping,-2017,16,30 min,"Comedy, Drama, Fantasy",8.3,"The drama is about a woman, Nam Hong Joo, who can see accidents that take place in the future through her dreams. And a prosecutor, Jung Jae Chan, who struggles to stop the woman's dreams from coming true.",Bae Suzy,Lee Jong-Suk,Jung Hae-In,Lee Sang-Yeob,"6,924"
485,The Good Fight,(2017–2022),15,45 min,"Crime, Drama",8.3,"When Diane Lockhart's life savings are lost, she must start from scratch at a new firm.",Christine Baranski,Sarah Steele,Nyambi Nyambi,Cush Jumbo,"26,106"
486,Descendants of the Sun,-2016,16,60 min,"Action, Comedy, Drama",8.3,This drama tells of the love story that develops between a surgeon and a special forces officer.,Song Joong-ki,Song Hye-Kyo,Jin Goo,Kim Ji-Won,"15,108"
487,Car Share,(2015–2020),15,30 min,Comedy,8.3,Assistant manager John Redmond and promotions rep Kayleigh Kitson are forced to commute together every day. But will they get along?,Peter Kay,Sian Gibson,Danny Swarsbrick,Guy Garvey,"5,022"
488,Master of None,(2015– ),15,30 min,"Comedy, Drama",8.3,"The personal and professional life of Dev, a 30-year-old actor in New York.",Aziz Ansari,Eric Wareheim,Lena Waithe,Noël Wells,"72,820"
489,Call My Agent!,(2015–2020),15,52 min,"Comedy, Drama",8.3,French serial about the lives and jobs of people working at a talent agency.,Camille Cottin,Thibault de Montalembert,Grégory Montel,Liliane Rovère,"14,001"
490,Unforgotten,(2015– ),15,45 min,"Crime, Drama, Mystery",8.3,"London detectives investigate crimes from the past, unravelling secrets left buried for years.",Sanjeev Bhaskar,Jordan Long,Lewis Reeves,Nicola Walker,"22,008"
491,Poldark,(2015–2019),12,60 min,"Drama, History, Romance",8.3,"Ross Poldark returns home after American Revolutionary War and rebuilds his life with a new business venture, making new enemies and finding a new love where he least expects it.",Aidan Turner,Eleanor Tomlinson,Jack Farthing,Beatie Edney,"31,030"
492,Kiseijû: Sei no kakuritsu,(2014–2015),12,22 min,"Animation, Action, Drama",8.3,"17-year-old Shinichi Izumi is partially infected by a Parasyte, monsters that butcher and consume humans. He must learn to co-exist with the creature if he is to survive both the life of a Parasyte and a human as part monster, part person.",Aya Hirano,Nobunaga Shimazaki,Rinka H.B.B.,Brittney Karbowski,"35,623"
493,The Leftovers,(2014–2017),15,60 min,"Drama, Fantasy, Mystery",8.3,"Three years after the disappearance of 2% of the global human population, a group of people in a small New York community try to continue their lives while coping with the tragedy of the unexplained nature of the event.",Justin Theroux,Amy Brenneman,Christopher Eccleston,Liv Tyler,"94,978"
494,The Originals,(2013–2018),15,45 min,"Drama, Fantasy, Horror",8.3,A family of power-hungry thousand-year-old vampires look to take back the city that they built and dominate all those who have done them wrong.,Joseph Morgan,Daniel Gillies,Claire Holt,Phoebe Tonkin,"132,730"
495,Kuroko's Basketball,(2012–2015),13,24 min,"Animation, Comedy, Sport",8.3,"The Teiko Middle School Basketball Team. The school that produced three perfect seasons in a row, with five once-in-a generation players, called ""The Generation of Miracles."" There was ...                 »",Kenshô Ono,Yoshimasa Hosoya,Yuki Ono,Hirofumi Nojima,"8,271"
496,Game of Silence,-2012,,90 min,"Action, Crime, Drama",8.3,A rising attorney finds his perfectly crafted life threatened when his long-lost childhood friends threaten to expose a dark secret from their past from Kuyudibi district in Istanbul.,Murat Yildirim,Asli Enver,Sarp Akkaya,Güven Murat Akpinar,"5,811"
497,A Place to Call Home,(2013–2018),16,60 min,Drama,8.3,A mysterious woman is perched between the harsh legacy of World War II and the hope of a new life in Australia.,Marta Dusseldorp,Noni Hazlehurst,Brett Climo,Craig Hall,"5,432"
498,Ray Donovan,(2013–2020),15,60 min,"Crime, Drama",8.3,"Ray Donovan, a professional ""fixer"" for the rich and famous in Los Angeles, can make anyone's problems disappear except those created by his own family.",Liev Schreiber,Eddie Marsan,Dash Mihok,Pooch Hall,"85,890"
499,Orphan Black,(2013–2017),15,44 min,"Drama, Sci-Fi, Thriller",8.3,A streetwise hustler is pulled into a compelling conspiracy after witnessing the suicide of a girl who looks just like her.,Tatiana Maslany,Dylan Bruce,Jordan Gavaris,Kevin Hanchard,"109,329"
500,Last Tango in Halifax,(2012–2020),12,60 min,"Comedy, Drama, Romance",8.3,"Re-united after 50+ years apart, Celia and Alan decide to marry. At age 16, Alan's late wife failed to pass on a letter from Celia, his longtime crush, with an apology for missing their first date and her forwarding address. Both now have daughters with lover troubles.",Anne Reid,Derek Jacobi,Sarah Lancashire,Nicola Walker,"7,008"
501,Rectify,(2013–2016),15,60 min,Drama,,Daniel Holden must put his life back together after serving 19 years on Georgia's Death Row before DNA evidence calls his conviction into question.,Aden Young,Abigail Spencer,J. Smith-Cameron,Adelaide Clemens,"26,210"
502,Grand Hotel,(2011–2013),18,60 min,"Crime, Drama, Mystery",,"A family-owned hotel in the fictional coastal Spanish town of Cantaloa in 1905: love, blackmail, jealousies, crime, comedy, and plots and counter-plots all involving the hotel's owners, guests, detectives, and residential employees.",Adriana Ozores,Amaia Salamanca,Yon González,Eloy Azorín,"10,384"
503,Key and Peele,(2012–2015),,30 min,"Action, Adventure, Comedy",,Project sees Keegan-Michael Key and Jordan Peele in front of a live studio audience bantering about a topic weaved between filmed shorts and sketches.,Keegan-Michael Key,Jordan Peele,Metta World Peace,Brendan Hunt,"21,076"
504,The Amazing World of Gumball,(2011–2019),PG,11 min,"Animation, Short, Adventure",,The life of a twelve-year-old boy who happens to be a blue cat as he lives with his family and other strange creatures.,Dan Russell,Teresa Gallagher,Kerry Shale,Kyla Rae Kowalewski,"30,097"
505,Longmire,(2012–2017),,60 min,"Action, Crime, Drama",,"Walt Longmire is the dedicated and unflappable sheriff of Absaroka County, Wyoming. Widowed only a year, he is a man in psychic repair but buries his pain behind his brave face, unassuming grin and dry wit.",Robert Taylor,Katee Sackhoff,Lou Diamond Phillips,Cassidy Freeman,"34,759"
506,Homeland,(2011–2020),15,55 min,"Crime, Drama, Mystery",,A bipolar CIA operative becomes convinced a prisoner of war has been turned by al-Qaeda and is planning to carry out a terrorist attack on American soil.,Claire Danes,Mandy Patinkin,Damian Lewis,Rupert Friend,"336,495"
507,Veep,(2012–2019),15,28 min,Comedy,,Former Senator Selina Meyer finds that being Vice President of the United States is nothing like she hoped and everything that everyone ever warned her about.,Julia Louis-Dreyfus,Tony Hale,Anna Chlumsky,Reid Scott,"53,938"
508,An Idiot Abroad,(2010–2012),15,43 min,"Documentary, Adventure, Comedy",,British comedy duo Ricky Gervais and Stephen Merchant send their simple and close-minded friend Karl Pilkington on a trip around the world to experience a variety of people and cultures.,Karl Pilkington,Ricky Gervais,Stephen Merchant,Richard Yee,"32,388"
509,Hell on Wheels,(2011–2016),15,42 min,"Drama, Western",,"The Civil War is past, but former Confederate soldier Cullen Bohannon can't put it behind him. Fresh are the memories of the death of his wife, killed at the hands of the Union soldiers, an act that sets him on a course of revenge.",Anson Mount,Colm Meaney,Robin McLeavy,Phil Burke,"51,564"
510,The Killing,(2011–2014),15,45 min,"Crime, Drama, Mystery",,"A police investigation, the saga of a grieving family, and a Seattle mayoral campaign all interlock after the body of 17-year-old Rosie Larsen is found in the trunk of a submerged car.",Mireille Enos,Joel Kinnaman,Billy Campbell,Liam James,"109,744"
511,The Avengers: Earth's Mightiest Heroes,(2010–2012),PG,30 min,"Animation, Action, Adventure",,"After 74 villains break out of prison, Marvel's most powerful superheroes team up to capture all of them, and also to defend the Earth from widespread threats.",Eric Loomis,Colleen O'Shaughnessey,Brian Bloom,Rick D. Wasserman,"14,823"
512,The League,(I) (2009–2015),15,22 min,"Comedy, Sport",,An ensemble comedy that follows a group of old friends in a fantasy football league who care deeply about one another -- so deeply that they use every opportunity to make each other's lives miserable.,Mark Duplass,Jonathan Lajoie,Nick Kroll,Stephen Rannazzisi,"48,190"
513,Young Royals,(2021– ),15,50 min,"Drama, Romance",,"Prince Wilhelm adjusts to life at his prestigious new boarding school, Hillerska, but following his heart proves more challenging than anticipated.",Edvin Ryding,Omar Rudberg,Felicia Truedsson,Malte Gårdinger,"28,427"
514,Columbo,(1971–2003),12,100 min,"Crime, Drama, Mystery",,Los Angeles homicide detective Lieutenant Columbo uses his humble ways and ingenuous demeanor to winkle out even the most well-concealed of crimes.,Peter Falk,Mike Lally,John Finnegan,Bruce Kirby,"34,364"
515,Dragon Ball Z Kai,(2009–2015),PG,24 min,"Animation, Action, Adventure",,An HD and enhanced remaster of Dragon Ball Z.,Masako Nozawa,Jôji Yanami,Sean Schemmel,Scott McNeil,"22,580"
516,Special Ops 1.5: The Himmat Story,(2021– ),UA 16+,,"Action, Crime, Drama",,"After the 2001 Parliament attack, a young and idealistic R&AW officer had a theory. In 2003, he had a mystery. This is the story of Himmat Singh.",Kay Kay Menon,Vinay Pathak,Aftab Shivdasani,Aadil Khan,"13,937"
517,White Collar,(2009–2014),15,40 min,"Comedy, Crime, Drama",,"A white-collar criminal agrees to help the FBI catch other white-collar criminals using his expertise as an art and securities thief, counterfeiter, and conman.",Matt Bomer,Tim DeKay,Willie Garson,Tiffani Thiessen,"129,396"
518,Blue Mountain State,(2010–2011),18,22 min,"Comedy, Sport",,"Three incoming freshmen attending Midwestern college football powerhouse Blue Mountain State must quickly adapt to college life and juggle football, girls, classes and nonstop hazing.",Darin Brooks,Alan Ritchson,Chris Romano,Ed Marinaro,"53,227"
519,Treme,(2010–2013),15,55 min,"Drama, Music",,"Life after Hurricane Katrina as the residents of New Orleans try to rebuild their lives, their homes, and their unique culture in the aftermath of one of the worst natural disasters in the USA.",Khandi Alexander,Rob Brown,Kim Dickens,Melissa Leo,"14,720"
520,How Not to Live Your Life,(2007–2011),,28 min,Comedy,,"Don Danbury, who slobs around, doesn't take his job seriously, and making awkward situations, has inherited a house from his late grandmother which she left in debt along with her carer, ...                 »",Dan Clark,David Armand,Leila Hoffman,Laura Haddock,"5,880"
521,Leverage: Redemption,(2021– ),15,,"Crime, Mystery, Thriller",,"The Hitter, the Hacker, the Grifter and the Thief are back, this time with help from a new tech genius and corporate fixer, to take on a new kind of villain. When someone needs help, they provide...Leverage.",Gina Bellman,Christian Kane,Beth Riesgraf,Aleyse Shannon,"17,201"
522,Party Down,(2009–2010),15,30 min,"Comedy, Drama",,"A group of actors move to Los Angeles to make it big, but end up working as caterers.",Adam Scott,Ken Marino,Ryan Hansen,Martin Starr,"31,101"
